id_product;name;link_rewrite;
"595";"Clear shampoo soft&shiny 400g";"clear-shampoo-softshiny-400g";
"597";"Clear shampoo cool sport 400ml";"clear-shampoocool-sport-400ml";
"599";"Clorox pine 1.5l";"clorox-pine-15l";
"601";"Clorox power 750ml";"clorox-power-750ml";
"602";"Clorox power citrus rush 750ml";"clorox-power-citrus-rush-750ml";
"603";"Closeup menthol chill 50ml";"close-up-menthol-chill-50ml";
"604";"Closeup menthole chill 120ml";"closeup-menthole-chill-120ml";
"605";"Closeup red hot toothpaste 120ml";"close-up-red-hot-120ml";
"606";"Closeup red hot toothpaste 50ml";"close-up-red-hot-50ml";
"609";"Coast powder milk 400g";"coast-powder-milk-400g";
"610";"Coast milk powder 900g";"coast-milk-powder-900g";
"616";"Coca cola cherry 330ml";"coca-cola-cherry-330ml";
"626";"Nestle coffee mate light 4450g";"coffe-mate-lite-4450g";
"627";"Nestle coffe mate coffee creamer original 170gm";"coffee-mate-cremer-jar-170gm";
"628";"Nestle coffe mate coffee creamer original 400g";"coffee-mate-cremer-jar-400g";
"630";"Colgate plax mouth wash blue";"colgate-plax-mouth-wash-blue";
"631";"Colgate plax mouth wash green";"colgate-plax-mouth-wash-green";
"632";"Colgate maximum cavity protection 125ml";"colgate-regular-125ml";
"633";"Colgate sensitive pro relife toothpaste 75ml";"colgate-sensitive-pro-relife-75ml";
"635";"Colgate total whitening 100ml";"colgate-total-whitening-100ml";
"636";"Colgate zigzag tooth brush soft";"colgate-zigzag-tooth-brush-soft";
"637";"Comfort essence iris and jasmin 1500ml";"comfort-essence-irisjas-1500ml";
"638";"Comfort essence orhid&musk 1500ml";"comfort-essence-orhidmusk-1500ml";
"642";"Palmolive aquarium handwash 300ml";"cp-aquarium-hand-wash-300ml";
"643";"Cream silk damage control 180ml";"cream-silk-damage-control-180ml";
"644";"Cream silk standout straight 180ml";"cream-silk-standout-straight-180ml";
"645";"Cream silk strength boost 180ml";"cream-silk-strength-boost-180ml";
"646";"Cream silk stunning shine 180ml";"cream-silk-stunning-shine-180ml";
"647";"Creme 21 all day cream 150 ml";"creme-21-all-day-cream-150-ml";
"648";"Creme 21 all day cream 50 ml";"creme-21-all-day-cream-50-ml";
"652";"Crunchos almond 110g";"crunchos-almond-110g";
"653";"Crunchos cashew 110g";"crunchos-cashew-110g";
"654";"Crunchos macadamia 125g";"crunchos-macadamia-125g";
"655";"Crunchos pistachio 110g";"crunchos-pistachio-110g";
"658";"Daawat basmati rice long grain 1kg";"daawat-basmati-rice-long-grain-1kg";
"659";"Daawat traditional basmati rice 1kg";"daawat-traditional-basmati-rice-1kg";
"678";"Davidoff 57 espresso";"davidoff-57-espresso";
"679";"Davidoff cafe 57 espresso";"davidoff-cafe-57-espresso";
"680";"Davidoff cafe creme";"davidoff-cafe-creme";
"682";"Davidoff dark roast espresso 100g";"davidoff-dark-roast-espresso-100g";
"683";"Davidoff fine aroma";"davidoff-fine-aroma";
"684";"Davidoff fine aroma coffee100g";"davidoff-fine-aroma-coffee100g";
"687";"Davidoff rich aroma coffee 100g";"davidoff-rich-aroma-coffee-100g";
"700";"Dettol disenfectant brown 500ml";"dettol-500ml";
"702";"Dettol 4x1 kitchen cleaner lemon  500ml";"dettol-4x1-kitchen-cleaner-lemon-500ml";
"713";"Dettol 4in1 bathroom  cleaner 500ml";"dettol-bathroom-cleaner-500ml";
"714";"Dettol 4in1 bathroom cleaner ocean 500ml";"dettol-bathroom-cleaner";
"720";"Dettol 4in1  kitchen cleaner rose 500ml";"dettol-kitchen-cleaner";
"721";"Dettol mac 4in 1 lemon 900ml";"dettol-mac-4in-1-lemon-900ml";
"722";"Dettol mac 4in1 jasmine 900ml";"dettol-mac-4in1-jasmine-900ml";
"723";"Dettol mac 4in1 pine 900ml";"dettol-mac-4in1-pine-900ml";
"724";"Dettol mac 4in1 rose 900ml";"dettol-mac-4in1-rose-900ml";
"725";"Dettol mac 4in1green apple 900ml";"dettol-mac-4in1green-apple-900ml";
"732";"Dettol soap fresh 165g";"dettol-soap-fresh-165g";
"733";"Dettol soap original 175g";"dettol-soap-original-175g";
"741";"Doritos nacho cheese 40gm";"doritos-nacho-cheese-40gm";
"742";"Doritos sweet chili pepper 40gm";"doritos-sweet-chili-pepper-40gm";
"743";"Doritossweet chili pepper 185g";"doritossweet-chili-pepper-185g";
"773";"Dove man care extra fresh 90g";"dove-man-care-extra-fresh-90g";
"780";"Dove shea butter bar 135g";"dove-shea-butter-bar-135g";
"854";"Evian water 0.75ml";"evian-water-075ml";
"895";"Fair&lovely max fairness 100g";"fairlovely-max-fairness-100g";
"908";"Foster clarks banana essence food colour 28ml";"fc-banana-essence-28ml";
"909";"Foster clarks cherry jelly 85g";"fc-cherry-jelly-85g";
"910";"Foster clarks corn flour 200g";"fc-corn-flour-200g";
"911";"Foster clarks creme caramel 71g";"fc-creme-caramel-71g";
"913";"Foster clarks orange jelly 85g";"fc-orange-jelly";
"914";"Foster clarks raspberry essence food colour 28ml";"fc-raspberry-essence-28ml";
"915";"Foster clarks raspberry jelly 85g";"fc-raspberry-jelly-85g";
"916";"Foster clarks red rouge food colour 28ml";"fc-red-food-colour-28ml";
"917";"Foster clarks strawberry jelly 85g";"fc-strawberry-jelly-85g";
"923";"Fiji artisian water 500ml";"fiji-artisian-water-500ml";
"925";"Finish all in one lemon tab 15s";"finish-all-in-one-lemon-tab-15s";
"926";"Finish powder classic 1kg";"finish-powder-classic-1kg";
